ensgene	control_1	treated_1	control_2	treated_2
ENSG00000000003	723,0	486,0	904,0	NA
ENSG00000000005	0,0	0,0	0,0	0,0
ENSG00000000419	467,0	523,0	616,0	371,0
ENSG00000000457	347,0	258,0	364,0	237,0
ENSG00000000460	96,0	81,0	73,0	66,0
ENSG00000000938	0,0	0,0	1,0	0,0
ENSG00000000971	3413,0	3916,0	6e3	4308,0
ENSG00000001036	2328,0	1714,0	2640,0	1381,0
ENSG00000001084	670,0	372,0	692,0	448,0
ENSG00000001167	426,0	295,0	531,0	178,0
ENSG00000001460	191,0	182,0	287,0	137,0
ENSG00000001461	2232,0	1969,0	5252,0	2698,0
ENSG00000001497	556,0	513,0	619,0	355,0
ENSG00000001561	74,0	53,0	212,0	160,0
ENSG00000001617	560,0	372,0	934,0	436,0
ENSG00000001626	16,0	9,0	14,0	8,0
ENSG00000001629	1491,0	1204,0	2438,0	1041,0
ENSG00000001630	1014,0	807,0	1135,0	689,0
ENSG00000001631	694,0	725,0	1052,0	475,0
ENSG00000002016	256,0	202,0	263,0	109,0
ENSG00000002079	1,0	0,0	7,0	7,0
ENSG00000002330	760,0	653,0	796,0	431,0
ENSG00000002549	1460,0	1274,0	1280,0	980,0
ENSG00000002586	7314,0	7067,0	9639,0	6221,0
ENSG00000002587	2,0	3,0	1,0	1,0
ENSG00000002726	1,0	0,0	4,0	2,0
ENSG00000002745	5,0	5,0	28,0	9,0
ENSG00000002746	172,0	160,0	104,0	86,0
ENSG00000002822	391,0	306,0	415,0	185,0
ENSG00000002834	7577,0	7641,0	9125,0	7305,0
ENSG00000002919	230,0	225,0	273,0	207,0
ENSG00000002933	1296,0	1542,0	594,0	433,0
ENSG00000003056	1954,0	1665,0	1960,0	1309,0
ENSG00000003096	644,0	330,0	590,0	178,0
ENSG00000003137	140,0	55,0	235,0	75,0
ENSG00000003147	9,0	4,0	9,0	8,0
ENSG00000003249	85,0	73,0	221,0	84,0
ENSG00000003393	900,0	728,0	875,0	514,0
ENSG00000003400	101,0	71,0	121,0	104,0
ENSG00000003402	2065,0	3648,0	2340,0	2991,0
ENSG00000003436	4665,0	4109,0	6899,0	3253,0
ENSG00000003509	306,0	249,0	379,0	203,0
ENSG00000003756	3095,0	2413,0	3940,0	1763,0
ENSG00000003987	25,0	28,0	34,0	35,0
ENSG00000003989	61,0	51,0	13,0	3,0
ENSG00000004059	1589,0	1893,0	1519,0	1136,0
ENSG00000004139	311,0	354,0	326,0	168,0
ENSG00000004142	1501,0	1570,0	1618,0	981,0
ENSG00000004399	4107,0	4116,0	3858,0	2064,0
ENSG00000004455	1349,0	1098,0	1549,0	733,0
ENSG00000004468	8,0	8,0	2,0	3,0
ENSG00000004478	552,0	638,0	727,0	396,0
ENSG00000004487	1345,0	1018,0	1705,0	788,0
ENSG00000004534	1246,0	1002,0	2084,0	930,0
ENSG00000004660	98,0	58,0	59,0	38,0
ENSG00000004700	1376,0	1618,0	1714,0	1127,0
ENSG00000004766	567,0	383,0	533,0	365,0
ENSG00000004776	14175,0	12857,0	13950,0	8278,0
ENSG00000004777	206,0	106,0	102,0	62,0
ENSG00000004779	330,0	340,0	486,0	265,0
ENSG00000004799	82,0	835,0	127,0	1130,0
ENSG00000004809	2,0	2,0	3,0	2,0
ENSG00000004838	19,0	8,0	28,0	8,0
ENSG00000004846	33,0	9,0	75,0	12,0
ENSG00000004848	0,0	1,0	0,0	0,0
ENSG00000004864	141,0	141,0	104,0	110,0
ENSG00000004866	522,0	387,0	1077,0	288,0
ENSG00000004897	1662,0	1367,0	2114,0	1041,0
ENSG00000004939	9,0	7,0	12,0	3,0
ENSG00000004948	0,0	0,0	0,0	0,0
ENSG00000004961	444,0	345,0	541,0	289,0
ENSG00000004975	1330,0	954,0	1146,0	517,0
ENSG00000005001	0,0	0,0	0,0	0,0
ENSG00000005007	2288,0	2284,0	2515,0	1544,0
ENSG00000005020	881,0	710,0	781,0	499,0
ENSG00000005022	1581,0	1253,0	1555,0	839,0
ENSG00000005059	200,0	206,0	242,0	206,0
ENSG00000005073	1,0	0,0	1,0	0,0
ENSG00000005075	631,0	693,0	719,0	378,0
ENSG00000005100	440,0	437,0	554,0	357,0
ENSG00000005102	1,0	0,0	0,0	0,0
ENSG00000005108	10,0	12,0	6,0	5,0
ENSG00000005156	370,0	170,0	370,0	178,0
ENSG00000005175	334,0	346,0	318,0	119,0
ENSG00000005187	24,0	26,0	35,0	24,0
ENSG00000005189	78,0	61,0	89,0	56,0
ENSG00000005194	438,0	373,0	620,0	314,0
ENSG00000005206	748,0	656,0	767,0	377,0
ENSG00000005238	801,0	634,0	853,0	408,0
ENSG00000005243	1171,0	949,0	1236,0	746,0
ENSG00000005249	227,0	247,0	279,0	328,0
ENSG00000005302	441,0	547,0	488,0	338,0
ENSG00000005339	2660,0	1793,0	3240,0	1690,0
ENSG00000005379	213,0	128,0	120,0	134,0
ENSG00000005381	3,0	30,0	7,0	1,0
ENSG00000005421	0,0	0,0	0,0	0,0
ENSG00000005436	313,0	303,0	292,0	239,0
ENSG00000005448	241,0	214,0	267,0	158,0
ENSG00000005469	503,0	396,0	344,0	191,0
ENSG00000005471	67,0	15,0	61,0	16,0
ENSG00000005483	1863,0	1563,0	1921,0	1107,0
ENSG00000005486	741,0	620,0	1121,0	562,0
ENSG00000005513	10,0	2,0	5,0	0,0
ENSG00000005700	543,0	431,0	790,0	393,0
ENSG00000005801	210,0	212,0	298,0	161,0
ENSG00000005810	3126,0	2627,0	3159,0	2108,0
ENSG00000005812	1493,0	1459,0	1472,0	1359,0
ENSG00000005844	5,0	0,0	1,0	3,0
ENSG00000005882	954,0	877,0	1254,0	681,0
ENSG00000005884	701,0	795,0	1582,0	1106,0
ENSG00000005889	792,0	584,0	766,0	404,0
ENSG00000005893	5053,0	4502,0	6271,0	3792,0
ENSG00000005961	9,0	13,0	24,0	5,0
ENSG00000005981	4,0	6,0	4,0	2,0
ENSG00000006007	2249,0	2181,0	3008,0	2143,0
ENSG00000006015	544,0	481,0	416,0	195,0
ENSG00000006016	154,0	112,0	91,0	82,0
ENSG00000006025	226,0	178,0	229,0	95,0
ENSG00000006042	3108,0	2545,0	3486,0	2057,0
ENSG00000006047	0,0	1,0	1,0	1,0
ENSG00000006059	0,0	0,0	0,0	0,0
ENSG00000006062	335,0	294,0	333,0	115,0
ENSG00000006071	0,0	0,0	0,0	0,0
ENSG00000006116	0,0	0,0	1,0	0,0
ENSG00000006118	528,0	369,0	604,0	282,0
ENSG00000006125	7030,0	5372,0	7725,0	5197,0
ENSG00000006128	0,0	4,0	1,0	0,0
ENSG00000006194	527,0	508,0	612,0	377,0
ENSG00000006210	9,0	19,0	9,0	6,0
ENSG00000006282	1765,0	1372,0	1340,0	752,0
ENSG00000006283	100,0	46,0	48,0	11,0
ENSG00000006327	523,0	347,0	708,0	250,0
ENSG00000006377	0,0	0,0	0,0	1,0
ENSG00000006432	8,0	5,0	12,0	8,0
ENSG00000006451	1833,0	949,0	1094,0	568,0
ENSG00000006453	214,0	151,0	260,0	150,0
ENSG00000006459	381,0	299,0	461,0	266,0
ENSG00000006468	190,0	109,0	167,0	133,0
ENSG00000006530	251,0	254,0	292,0	173,0
ENSG00000006534	885,0	1132,0	1380,0	847,0
ENSG00000006555	9,0	4,0	6,0	2,0
ENSG00000006576	946,0	718,0	1612,0	711,0
ENSG00000006606	3,0	3,0	8,0	1,0
ENSG00000006607	709,0	903,0	971,0	860,0
ENSG00000006611	0,0	0,0	0,0	0,0
ENSG00000006625	195,0	186,0	196,0	84,0
ENSG00000006634	132,0	72,0	104,0	74,0
ENSG00000006638	76,0	54,0	105,0	46,0
ENSG00000006652	922,0	788,0	1022,0	597,0
ENSG00000006659	1,0	0,0	0,0	1,0
ENSG00000006695	184,0	140,0	200,0	141,0
ENSG00000006704	337,0	281,0	380,0	164,0
ENSG00000006712	985,0	879,0	1550,0	719,0
ENSG00000006715	2045,0	1560,0	2949,0	1410,0
ENSG00000006740	42,0	29,0	33,0	20,0
ENSG00000006744	836,0	931,0	1008,0	636,0
ENSG00000006747	18,0	29,0	35,0	12,0
ENSG00000006756	538,0	423,0	591,0	371,0
ENSG00000006757	161,0	155,0	176,0	105,0
ENSG00000006788	5,0	37,0	0,0	1,0
ENSG00000006831	1055,0	1009,0	1170,0	894,0
ENSG00000006837	72,0	56,0	90,0	80,0
ENSG00000007001	2,0	4,0	5,0	0,0
ENSG00000007038	0,0	0,0	2,0	1,0
ENSG00000007047	641,0	654,0	925,0	519,0
ENSG00000007062	3,0	2,0	6,0	1,0
ENSG00000007080	633,0	715,0	707,0	402,0
ENSG00000007129	0,0	0,0	0,0	0,0
ENSG00000007168	3486,0	3399,0	4955,0	2670,0
ENSG00000007171	0,0	2,0	0,0	0,0
ENSG00000007174	1,0	3,0	3,0	4,0
ENSG00000007202	6595,0	5389,0	7849,0	4289,0
ENSG00000007216	0,0	0,0	0,0	0,0
ENSG00000007237	378,0	153,0	304,0	37,0
ENSG00000007255	140,0	155,0	124,0	118,0
ENSG00000007264	3,0	3,0	4,0	1,0
ENSG00000007306	0,0	0,0	0,0	0,0
ENSG00000007312	1,0	2,0	0,0	4,0
ENSG00000007314	0,0	1,0	2,0	1,0
ENSG00000007341	274,0	172,0	282,0	171,0
ENSG00000007350	0,0	0,0	0,0	0,0
ENSG00000007372	29,0	62,0	32,0	11,0
ENSG00000007376	278,0	265,0	222,0	137,0
ENSG00000007384	2e3	1978,0	1951,0	983,0
ENSG00000007392	792,0	659,0	766,0	430,0
ENSG00000007402	21,0	24,0	24,0	29,0
ENSG00000007516	6,0	6,0	6,0	14,0
ENSG00000007520	655,0	565,0	632,0	317,0
ENSG00000007541	710,0	669,0	694,0	361,0
ENSG00000007545	615,0	679,0	771,0	383,0
ENSG00000007866	1522,0	2112,0	1701,0	1244,0
ENSG00000007908	0,0	0,0	0,0	0,0
ENSG00000007923	880,0	885,0	1095,0	611,0
ENSG00000007933	782,0	826,0	2205,0	1633,0
ENSG00000007944	368,0	247,0	535,0	185,0
ENSG00000007952	11,0	15,0	7,0	8,0
ENSG00000007968	4,0	6,0	6,0	3,0
ENSG00000008018	1674,0	1494,0	1789,0	1115,0
ENSG00000008056	7,0	23,0	24,0	15,0
ENSG00000008083	274,0	260,0	283,0	227,0
ENSG00000008086	323,0	293,0	585,0	198,0
ENSG00000008118	2,0	4,0	13,0	2,0
ENSG00000008128	574,0	559,0	657,0	336,0
ENSG00000008130	1345,0	2061,0	1441,0	1443,0
ENSG00000008196	1,0	1,0	6,0	1,0
ENSG00000008197	0,0	0,0	0,0	0,0
ENSG00000008226	8,0	3,0	13,0	5,0
ENSG00000008256	1746,0	3230,0	3066,0	3432,0
ENSG00000008277	28,0	19,0	18,0	20,0
ENSG00000008282	1959,0	1841,0	1966,0	1707,0
ENSG00000008283	594,0	538,0	645,0	336,0
ENSG00000008294	2688,0	2195,0	3950,0	1736,0
ENSG00000008300	55,0	76,0	127,0	85,0
ENSG00000008311	478,0	972,0	549,0	670,0
ENSG00000008323	8,0	12,0	7,0	3,0
ENSG00000008324	112,0	157,0	85,0	106,0
ENSG00000008382	156,0	124,0	167,0	87,0
ENSG00000008394	2589,0	2703,0	3127,0	1895,0
ENSG00000008405	296,0	308,0	269,0	208,0
ENSG00000008438	0,0	6,0	1,0	1,0
ENSG00000008441	14126,0	9551,0	13469,0	6036,0
ENSG00000008513	2256,0	1341,0	1760,0	554,0
ENSG00000008516	19,0	22,0	31,0	6,0
ENSG00000008517	179,0	82,0	210,0	63,0
ENSG00000008710	5059,0	5956,0	5307,0	3517,0
ENSG00000008735	15,0	22,0	21,0	13,0
ENSG00000008838	1320,0	1003,0	1229,0	659,0
ENSG00000008853	644,0	727,0	956,0	562,0
ENSG00000008869	796,0	639,0	799,0	505,0
ENSG00000008952	4233,0	4365,0	5671,0	3341,0
ENSG00000008988	13036,0	11874,0	13193,0	7244,0
ENSG00000009307	15086,0	12706,0	19963,0	11668,0
ENSG00000009335	1932,0	2021,0	2275,0	1634,0
ENSG00000009413	5320,0	10463,0	6250,0	7792,0
ENSG00000009694	18,0	7,0	2,0	3,0
ENSG00000009709	0,0	0,0	0,0	0,0
ENSG00000009724	40,0	30,0	60,0	24,0
ENSG00000009765	12,0	30,0	4,0	1,0
ENSG00000009780	150,0	187,0	173,0	146,0
ENSG00000009790	3,0	6,0	6,0	3,0
ENSG00000009830	381,0	460,0	546,0	285,0
ENSG00000009844	829,0	675,0	1092,0	532,0
ENSG00000009950	10,0	21,0	6,0	2,0
ENSG00000009954	2827,0	2653,0	3352,0	2041,0
ENSG00000010017	1510,0	2278,0	1804,0	2001,0
ENSG00000010030	30,0	15,0	22,0	11,0
ENSG00000010072	194,0	143,0	203,0	105,0
ENSG00000010165	959,0	950,0	1177,0	688,0
ENSG00000010219	262,0	189,0	326,0	142,0
ENSG00000010244	2884,0	2599,0	2943,0	1669,0
ENSG00000010256	1649,0	1795,0	1587,0	1379,0
ENSG00000010270	888,0	800,0	884,0	504,0
ENSG00000010278	3133,0	3438,0	3747,0	3527,0
ENSG00000010282	0,0	0,0	0,0	0,0
ENSG00000010292	1407,0	1139,0	1356,0	827,0
