Line	Elapsed	Date	Experiment	EGFP_untreated_1	EGFP_untreated_2	EGFP_untreated_3	EGFP_DOX_1	EGFP_DOX_2	EGFP_DOX_3	Ptf1a_untreated_1	Ptf1a_untreated_2	Ptf1a_untreated_3	Ptf1a_DOX_1	Ptf1a_DOX_2	Ptf1a_DOX_3
12738	0	180116	1	16.24219	13.26543	13.17204	16.70075	17.48349	21.68607	12.68474	14.07527	17.61597	16.28287	14.78869	14.40743
12738	2	180116	1	18.11504	14.60599	14.88011	17.89128	19.30684	22.89331	13.94106	16.35761	20.2668	18.0727	16.43387	16.34736
12738	4	180116	1	17.50939	15.87961	14.84143	18.16851	19.23524	22.14602	14.77532	16.47601	21.01381	18.4139	17.3185	15.95963
12738	6	180116	1	17.95952	16.4901	15.23769	18.95417	19.12801	22.63404	15.29408	17.9331	21.70385	19.25303	17.58009	16.45788
12738	8	180116	1	18.38606	16.94724	16.01883	19.14282	19.93037	23.87388	14.4783	18.11811	22.68286	19.46862	17.43907	16.41346
12738	10	180116	1	19.44193	17.75782	16.32432	19.89783	20.54103	25.81059	15.95376	18.88223	22.81799	20.0854	17.63504	16.9929
12738	12	180116	1	20.14533	17.12367	16.88283	20.31899	21.28198	26.55923	14.6759	18.21289	24.15387	19.88895	18.23275	17.09784
12738	14	180116	1	21.25983	17.59435	17.44441	21.94193	22.52652	27.86378	16.72931	19.66711	24.30519	20.40664	18.52902	18.31765
12738	16	180116	1	22.25114	18.1366	18.04334	22.57172	23.72708	29.24664	16.39706	19.64846	25.17679	20.00621	18.75438	18.06593
12738	18	180116	1	23.10136	19.6024	18.43625	24.82226	25.2211	31.62574	17.26917	20.38171	25.87242	20.24265	19.75542	18.57191
12738	20	180116	1	24.41567	20.68468	20.1352	26.10985	27.06313	33.18106	17.59307	20.73655	26.92054	20.78073	19.77363	19.55829
12738	22	180116	1	26.53385	21.68141	21.57319	27.94574	29.3534	36.15936	18.5087	21.65281	28.73867	22.0502	21.00543	20.54659
12738	24	180116	1	28.31592	22.63556	22.18932	29.32269	31.13242	37.95596	19.58	21.98593	30.16722	22.35562	21.46654	21.49406
12738	26	180116	1	29.93699	24.48127	23.52432	31.99985	33.0801	40.37659	20.86844	23.40861	32.13933	23.66215	22.41844	22.35102
12738	28	180116	1	32.1265	24.91157	24.79224	33.90246	35.02732	44.12905	21.49945	24.40693	32.88972	24.30853	22.33978	22.02554
12738	30	180116	1	34.07644	27.47064	26.61288	35.90747	37.72268	46.98265	22.31492	26.17229	35.53821	25.73317	23.50595	23.95217
12738	32	180116	1	35.86729	27.96464	28.10372	38.24105	40.52577	49.91605	22.75412	27.88986	37.08675	25.36609	24.22617	24.03634
12738	34	180116	1	39.16441	30.55963	30.11566	40.2413	42.45001	53.22664	24.11557	29.40795	40.26331	27.44189	26.1854	26.23075
12738	36	180116	1	40.35623	32.2002	32.08582	42.52703	45.30192	55.46169	24.63488	30.71292	42.00163	28.14364	27.10457	26.36759
12738	38	180116	1	43.36618	33.94363	34.19757	45.42295	47.81672	58.51424	26.83461	32.85953	44.45839	29.90622	28.02096	28.53965
12738	40	180116	1	46.10229	36.35072	35.99611	47.16724	50.13425	61.01481	27.92529	34.37734	47.1874	31.44164	28.92817	29.25587
12738	42	180116	1	48.59247	39.00278	38.03316	49.54547	54.36326	64.56531	29.68635	36.71294	50.55714	33.05792	31.01928	31.19943
12738	44	180116	1	50.3641	40.498	40.14912	52.72897	57.18578	67.08952	30.80628	38.35038	53.13336	34.33472	32.80094	33.18998
12738	46	180116	1	53.37126	43.25386	42.58258	55.85505	60.87653	69.77222	32.55048	40.70724	55.73286	35.64426	33.60434	34.84375
12738	48	180116	1	54.6344	45.02741	45.03337	57.86523	63.39711	72.27455	34.5173	43.25269	57.16098	37.51022	35.30563	35.3225
12738	50	180116	1	58.11811	47.46815	47.74935	61.7523	65.98412	75.06744	37.22377	45.70348	60.43982	39.96152	37.13277	38.23586
12738	52	180116	1	59.18957	49.23139	49.66985	64.96504	68.73661	77.81021	39.16454	48.72652	63.55788	41.22137	38.2611	40.62332
12738	54	180116	1	62.18925	51.07354	52.05294	67.9588	72.0944	80.11122	42.06802	51.1597	66.60947	43.02942	39.84292	42.467
12738	56	180116	1	63.78694	53.31051	54.39615	70.80894	74.94795	82.36345	43.66586	52.7442	68.99393	44.95782	41.84228	44.63801
12738	58	180116	1	66.8925	56.37889	57.33875	74.08881	78.09714	84.28007	46.3048	56.30088	72.62296	46.75668	45.57513	48.22448
12738	60	180116	1	68.67988	58.47644	59.86798	77.22392	80.45975	86.06122	48.73724	59.56173	74.71521	48.19579	46.91209	49.76877
12738	62	180116	1	71.79007	60.85086	62.67059	80.70289	83.34705	87.93338	51.53787	62.47102	78.31662	51.32349	49.7519	53.00525
12738	64	180116	1	74.22268	62.89519	65.19202	83.76772	85.60244	89.36874	54.35846	64.52502	80.92462	53.7468	51.25552	55.00657
12738	66	180116	1	76.90079	65.36857	67.6955	87.11504	88.05582	90.98076	57.34846	67.50695	83.46986	54.94012	54.2638	57.51754
12738	68	180116	1	79.18864	67.53778	70.22273	89.9034	90.19308	92.49413	60.6011	70.07928	85.89372	57.47556	56.21424	60.80503
12738	70	180116	1	80.28819	69.59896	72.80886	92.80249	91.15834	94.42259	64.97239	73.89618	88.39333	61.18953	58.74969	64.52652
12738	72	180116	1	81.52342	71.90165	74.9333	94.7324	92.50536	95.57036	68.49982	76.52354	90.51181	63.81871	60.96926	66.36542
12738	0	180120	2	9.181655	9.645849	8.487443	8.341242	9.276875	7.651136	5.418496	8.243189	8.044217	8.474316	8.203333	6.40815
